"text","likeCount","reply"
"This is very important n todays world given that fact that almost everything is online",1,FALSE
"Excellent conversation",1,FALSE
"AI is fast evolving topic",1,FALSE
"Love the q & a style, more please tedx",1,FALSE
"Love this lady, so knowledgable",1,FALSE
"California leading the way",1,FALSE
"I use Chat GPT for almost everything now",1,FALSE
"Robots are taking over the world",1,FALSE
"Governments have lots of issues around AI",1,FALSE
"Fascinating",1,FALSE
"Thanks for sharing this Dominique",1,FALSE
"Like the term 'co-intelligence'",1,FALSE
"Humans will always be able to navigate robots",1,FALSE
"Fast evolving area this",1,FALSE
"Safe and responsible AI is crucial I feel",1,FALSE
"Employees need ALOT of training around this- raising more awareness would be a good idea",1,FALSE
"Exciting emerging developments",1,FALSE
"Really enjoyed this, thank you speaker",1,FALSE
"Love this area and topic -always learning",1,FALSE
"Big companies have the dollar to invest in this, SMEs don't",1,FALSE
"This is very important n todays world given that fact that almost everything is online",1,FALSE
"Excellent conversation",1,FALSE
"You are looking damn hot",0,FALSE
"Hot",0,FALSE
"Trendy",1,FALSE
"This one is awsm",1,FALSE
"My role model",1,FALSE
"Your picture made my morning Special",0,FALSE
"Crazy",1,FALSE
"Amazing",1,FALSE
"Super conversation. Dominique you are a great speaker and so knowledgable",4,FALSE
"I agree trust is key",1,FALSE
"Artificial Intelligence is a crazy area",1,FALSE
"Thought leading insights here",1,FALSE
"Sharing this with our IT people",1,FALSE
"Big tech don't know everything on data, fast evolving field",1,FALSE
"Be careful not to click on certain links etc, such simple measures can be taken to avoid huge breaches",1,FALSE
"Cyber crime is a massive thing",1,FALSE
"Ransom attacks wow",1,FALSE
"Companies stand big losses if they don't wake up and listen to people like Dominique- thought leading conversation, thanks you speaker",1,FALSE
"Incredible talk",1,FALSE
"I hope you deliver another talk",1,FALSE
"Sophisticated criminals are targeting companies and holding them to ransom",2,FALSE
"Financial systems and healthcare sectors are on red alert",1,FALSE
"Love this lady's perspective",1,FALSE
"This a national security governance issue and they should be taking the lead",1,FALSE
"Cyber attacks are super scary, especially for global companies",1,FALSE
"Good point on the military stuff",1,FALSE
"The senators report is interesting isn't it.",1,FALSE
"We need to evolve with this",1,FALSE
"Thanks for sharing",1,FALSE
"Glad I was shown this",1,FALSE
"Wonderful talk Dominique",1,FALSE
"Great speaker",1,FALSE
"Really enjoyed this",1,FALSE
"The EU AI language was finalized on May 21, 2024",0,TRUE
"The legislative frameworks focus on humans controlling AI- not the other way around",0,TRUE
"Agree. The AI governance called for in the EU AI Act and the Colorado AI Act will ensure this is the case. Companies should not wait until they go in effect - in 2026 to adopt great practices!",0,TRUE
"I discuss this at length in my book called Trust.",0,TRUE
"Thank you for listening",0,TRUE
"Thanks so much for listening @KathyeChan105!",0,TRUE
"Thank you for listening!",0,TRUE
"@RajaneceChambers, I could not agree with you more!",0,TRUE
"True. The guide for trustworthy AI governance lies in the legislation that is forthcoming!",0,TRUE
"We are building the plane as we fly it, so all of us need to learn about effective AI governance!",0,TRUE
"Actually, governance is not that expensive. It mostly takes planning and coordination to ensure the SME companies' values for things like bias, IP and health & safety are inserted in the AI applications they are using.",0,TRUE
"Generative AI- crazy crazy world",1,FALSE
"Very interesting speaker",1,FALSE
"AI has so many flaws and faults with hugely significant outcomes",1,FALSE
"Great conversation",1,FALSE
"6.1 trillion dollars in data breaches wow",1,FALSE
"Love this speaker",1,FALSE
"Dominique - FABULOUS !",1,FALSE
"Congrats",1,FALSE
"Love your accent Dominique!!!!!!!!!!!!!",1,FALSE
"Model drift - Love it and thanks for explaining",1,FALSE
