likeCount,reply,word
58,FALSE,年轻气盛
58,FALSE,注意到
2,FALSE,断手断脚
1,FALSE,民进党
1,FALSE,以为是
1,FALSE,没想到
3,FALSE,不入流
3,FALSE,也没有
3,FALSE,可不是
3,FALSE,冲上去
590,FALSE,我看到
590,FALSE,是不是
4,TRUE,n9j
109,FALSE,蓄谋已久
1,FALSE,不平等
1037,FALSE,为什么
1037,FALSE,忙忙碌碌
1037,FALSE,老百姓
0,FALSE,20，25
0,FALSE,金日成
0,FALSE,都没有
0,FALSE,小题大做
60,FALSE,第一次
83,FALSE,也不是
1,FALSE,也不是
1,FALSE,主要是
3,FALSE,含金量
3,FALSE,烏克蘭
27,FALSE,十九岁
27,FALSE,女朋友
27,FALSE,第一次
2,FALSE,麦当劳
0,FALSE,只需要
0,FALSE,0.1
0,FALSE,白開水
0,FALSE,利潤率
0,FALSE,有助於
0,FALSE,遙遙領先
0,FALSE,npo
0,FALSE,ngo
0,FALSE,再也不
0,FALSE,为什么
21,FALSE,匪夷所思
0,FALSE,总书记
3,FALSE,不可能
2,FALSE,傻小子
0,TRUE,抱薪救火
1,FALSE,男女平等
832,FALSE,男朋友
832,FALSE,女朋友
832,FALSE,也没有
6,FALSE,不得不
1,FALSE,停不下来
10,FALSE,越来越
10,FALSE,辛辛苦苦
10,FALSE,说说看
72,FALSE,不仅仅是
0,FALSE,这点儿
1,FALSE,结论是
1,FALSE,尤其是
2,TRUE,也不會
5,TRUE,女朋友
11,TRUE,一系列
0,TRUE,dna
1,TRUE,無差別
0,FALSE,在一起
0,FALSE,为什么
75,TRUE,安息吧
0,FALSE,很简单
7,FALSE,小学生
7,FALSE,奢侈品
7,FALSE,十几块
3,TRUE,是不是
1,TRUE,看不见
1,TRUE,不存在
1,TRUE,一部分
1,TRUE,就应该
9,TRUE,主要是
9,TRUE,不正常
9,TRUE,男女平等
17,FALSE,十一岁
17,FALSE,不会有
10,TRUE,依然是
0,FALSE,npd
0,FALSE,肯定是
0,FALSE,不可能
0,FALSE,男女平等
0,FALSE,找不到
0,FALSE,国内外
0,FALSE,层出不穷
16,FALSE,npd
0,FALSE,不平等
2,FALSE,受害者
0,FALSE,中国人
4,TRUE,众生相
3,FALSE,女孩子
3,FALSE,是不是
3,FALSE,進一步
3,FALSE,多少錢
0,FALSE,emmm
0,FALSE,每个人
0,FALSE,中国人
0,FALSE,中国人
0,FALSE,不值得
0,FALSE,不可能
0,FALSE,差不多
0,FALSE,是不是
0,TRUE,为什么
1,TRUE,一回事
1,TRUE,xxn
2,FALSE,层出不穷
2,FALSE,其实是
15,TRUE,已经有
1,FALSE,一方面
1,FALSE,另一方面
1,FALSE,cherry
1,FALSE,picking
1,FALSE,潜意识
1,FALSE,比比皆是
1,FALSE,女朋友
1,FALSE,百依百顺
1,FALSE,放不下
1,FALSE,为什么
1,FALSE,越来越
8,FALSE,为什么
8,FALSE,一切都
8,FALSE,绝大部分
1,FALSE,一直在
1,TRUE,女朋友
1,FALSE,不值得
0,FALSE,事故死
56,TRUE,五一劳动节
0,TRUE,user
0,TRUE,wl2zz5gm6o
0,TRUE,反而是
0,TRUE,也不是
0,TRUE,越来越
0,TRUE,越来越
0,FALSE,真善美
1,FALSE,中国人
1,FALSE,弄虚作假
1,FALSE,中国人
1,FALSE,或许是
1,FALSE,世界上
1,FALSE,甚至于
1,FALSE,中国人
1,FALSE,竟然是
1,FALSE,中国人
1,FALSE,中国人
1,FALSE,心事重重
1,FALSE,扑上来
1,FALSE,老祖宗
1,FALSE,什么时候
1,FALSE,不得不
1,FALSE,不得不
1,FALSE,高速公路
1,FALSE,光怪陆离
1,FALSE,不合理
0,FALSE,中国人
0,FALSE,变本加厉
0,FALSE,越来越
6,TRUE,不知道
2,TRUE,可能性
2,TRUE,不寒而栗
1,TRUE,不可能
2,TRUE,咎由自取
2,TRUE,不值得
2,FALSE,處心積慮
2,FALSE,銀河系
0,TRUE,乌合之众
0,TRUE,任何人
0,FALSE,是不是
0,FALSE,是不是
0,FALSE,看起来
0,FALSE,生育率
0,TRUE,vk4zm8wr8d
192,FALSE,寄生虫
192,FALSE,吸血鬼
22,FALSE,一部分
22,FALSE,占便宜
27,TRUE,老百姓
0,TRUE,杯弓蛇影
0,TRUE,風聲鶴唳
0,TRUE,都不是
4,FALSE,整件事
4,FALSE,精心设计
4,FALSE,所谓的
4,FALSE,牛鬼蛇神
0,FALSE,受欢迎
0,FALSE,什么时候
0,FALSE,貌美如花
7,FALSE,不管是
7,FALSE,没关系
7,FALSE,或者是
7,FALSE,吸引力
7,FALSE,也没有
7,FALSE,也没有
7,FALSE,七仙女
7,FALSE,所谓的
7,FALSE,各方面
7,FALSE,审美观念
7,FALSE,都没有
7,FALSE,只剩下
7,FALSE,只剩下
7,FALSE,骗财骗色
8,FALSE,各方面
9,TRUE,全世界
12,FALSE,男女平等
23,FALSE,也没有
23,FALSE,不至于
0,FALSE,不正常
0,FALSE,男婚女嫁
0,FALSE,只要是
0,FALSE,明眼人
0,TRUE,匪夷所思
40,TRUE,倒不是
1,FALSE,看不下去
1,FALSE,男主角
14,FALSE,很遗憾
2,FALSE,尤其是
2,FALSE,不切实际
4,FALSE,然后就
10,TRUE,嘘寒问暖
10,TRUE,不知道
1,FALSE,小孩子
1,FALSE,越来越
1,TRUE,很遗憾
1,TRUE,最好的
1,FALSE,5.1
1,TRUE,越来越
1,TRUE,不知道
1,TRUE,为什么
1,TRUE,几千块
5,FALSE,反其道
5,FALSE,就算是
5,FALSE,不正常
5,FALSE,或者是
5,FALSE,不出来
5,FALSE,不必要
1,FALSE,麦当劳
1,FALSE,boys
1,FALSE,remember
1,FALSE,simp
3,FALSE,视而不见
2,TRUE,我还是
8,TRUE,可看性
38,FALSE,實在是
1,FALSE,第一次
20,TRUE,主要是
1,TRUE,老百姓
2,FALSE,男女平等
2,FALSE,女尊男卑
2,FALSE,流行歌曲
0,FALSE,可能性
0,FALSE,只不过是
0,FALSE,不存在
0,FALSE,除此之外
0,FALSE,好多人
0,FALSE,分不清
4,FALSE,都不是
4,FALSE,過日子
4,FALSE,反而會
4,FALSE,會不會
4,FALSE,就應該
4,FALSE,在一起
4,FALSE,也不會
9,FALSE,不介意
0,TRUE,原来是
0,TRUE,没什么
12,FALSE,为什么
12,FALSE,不值得
1,TRUE,无所谓
0,TRUE,重男轻女
12,FALSE,什么时候
12,FALSE,干什么
56,FALSE,不知道
56,FALSE,為什麼
56,FALSE,也不能
56,FALSE,年輕人
56,FALSE,年輕人
56,FALSE,老年人
56,FALSE,不要臉
56,FALSE,年輕人
56,FALSE,不要臉
56,FALSE,順理成章
8,FALSE,表面上
8,FALSE,而不是
156,FALSE,女朋友
0,TRUE,好像是
1,TRUE,听起来
0,TRUE,反过来
0,TRUE,恼羞成怒
0,FALSE,好几天
7,TRUE,同情心
1,FALSE,遇人不淑
1,FALSE,感受到
0,FALSE,都没有
0,FALSE,不可能
0,FALSE,才可以
1,TRUE,doraemon_rain
1,TRUE,第一次
1,TRUE,小小的
0,FALSE,那句话
0,FALSE,麦当劳
1,FALSE,点到为止
5,FALSE,不需要
0,TRUE,一直在
0,TRUE,不可能
3,TRUE,碎尸万段
10,FALSE,也不是
0,FALSE,pua
0,FALSE,女權主義
0,TRUE,三位一体
0,FALSE,八月份
0,FALSE,越来越
0,FALSE,走出来
0,FALSE,林覺民
1,FALSE,不平等
1,FALSE,同工同酬
1,FALSE,不公平
5,TRUE,不需要
5,TRUE,指手画脚
0,FALSE,其实是
0,FALSE,受害者
88,FALSE,单方面
0,FALSE,是不是
54,FALSE,想不通
54,FALSE,为什么
54,FALSE,单单是
54,FALSE,不至于
54,FALSE,当然是
54,FALSE,我还是
54,FALSE,atm
54,FALSE,只要是
54,FALSE,嗤之以鼻
54,FALSE,一部分
54,FALSE,已经有
54,FALSE,没什么
0,FALSE,也可以
0,FALSE,聊聊天
0,FALSE,会不会
0,FALSE,日本人
1,FALSE,成年人
1,FALSE,pua
1,FALSE,都不是
1,FALSE,不值得
1,FALSE,也不是
1,FALSE,pua
1,FALSE,成年人
1,FALSE,一件事
1,FALSE,第一次
1,FALSE,成年人
1,FALSE,house
1,FALSE,不值得
1,FALSE,比比皆是
1,FALSE,我知道
1,FALSE,没什么
1,FALSE,没什么
1,FALSE,予取予求
1,FALSE,只不过
3,FALSE,加拿大
3,FALSE,加拿大
3,FALSE,吃软饭
3,FALSE,不得不
1,FALSE,怎么说
1,FALSE,pua
1,FALSE,pua
1,FALSE,受害者
1,FALSE,没什么
1,FALSE,pua
1,FALSE,pua
1,FALSE,女孩子
1,FALSE,xxx
1,FALSE,为什么
1,FALSE,pua
1,FALSE,pua
1,FALSE,不仅是
6,FALSE,不会有
0,TRUE,都没有
0,TRUE,女孩子
0,TRUE,基本上
0,TRUE,一下子
0,TRUE,男孩子
0,TRUE,女孩子
0,TRUE,没什么
0,TRUE,就不是
0,TRUE,一回事
2,TRUE,来龙去脉
2,TRUE,一目了然
2,TRUE,心知肚明
2,TRUE,没什么
1,TRUE,守规矩
1,TRUE,守规矩
1,TRUE,不介意
0,FALSE,害人不浅
0,FALSE,中国人
0,FALSE,物欲横流
0,FALSE,不正常
0,FALSE,翻天覆地
0,FALSE,进一步
0,FALSE,高攀不起
0,FALSE,生育率
0,FALSE,jianyu
0,FALSE,weihaijianyu
0,FALSE,一把手
0,FALSE,所谓的
0,FALSE,所谓的
0,FALSE,不了了之
0,FALSE,所谓的
0,FALSE,监狱长
0,FALSE,绳之以法
0,FALSE,不知道
0,FALSE,加拿大
0,FALSE,一把手
0,FALSE,舍不得
0,FALSE,监狱长
0,FALSE,房地产
0,FALSE,尤其是
0,FALSE,原来是
0,FALSE,管理局
0,FALSE,不知道
0,FALSE,不可能
