word,n,rank
受害者,75,1
為什麼,67,2
不知道,53,3
pua,42,4
這件事,34,5
一個人,32,6
自助餐,31,7
麥當勞,28,8
有沒有,25,9
這就是,25,10
大部分,24,11
是不是,24,12
真的是,24,13
價值觀,23,14
高速公路,22,15
也可以,20,16
就不會,20,17
都沒有,20,18
也不是,17,19
而不是,17,20
在一起,16,21
垃圾桶,16,22
我知道,16,23
有些人,16,24
人民幣,15,25
男尊女卑,15,26
不需要,14,27
可能是,14,28
越來越,14,29
應該是,13,30
沒什麼,13,31
不可能,12,32
基本上,12,33
解放軍,12,34
這句話,12,35
麦当劳,12,36
中国人,11,37
也沒有,11,38
女朋友,11,39
差不多,11,40
每個人,11,41
一定是,10,42
万余元,10,43
不值得,10,44
全世界,10,45
大多數,10,46
我認為,10,47
有時候,10,48
還不如,10,49
q6d,9,50
一輩子,9,51
不管是,9,52
主要是,9,53
事實上,9,54
共產黨,9,55
尤其是,9,56
衛生紙,9,57
說實話,9,58
一部分,8,59
並不是,8,60
並沒有,8,61
也不會,8,62
單方面,8,63
婚姻法,8,64
從頭到尾,8,65
心上人,8,66
理所當然,8,67
老一輩,8,68
還是要,8,69
都不是,8,70
都不會,8,71
b7n,7,72
不一定,7,73
不在乎,7,74
不平等,7,75
不然就,7,76
为什么,7,77
也不能,7,78
到底是,7,79
只為了,7,80
天經地義,7,81
女主角,7,82
小時候,7,83
就應該,7,84
會不會,7,85
沒甚麼,7,86
第一次,7,87
說真的,7,88
還可以,7,89
都可以,7,90
重男輕女,7,91
f9e,6,92
tl9bc,6,93
一胎化,6,94
不健全,6,95
其實是,6,96
反過來,6,97
可能會,6,98
好不好,6,99
好像是,6,100
家庭的,6,101
年輕人,6,102
情有可原,6,103
最好的,6,104
沒辦法,6,105
沒關係,6,106
男女平等,6,107
聯誼會,6,108
肯定是,6,109
衛生棉,6,110
賠錢貨,6,111
w6u,5,112
下輩子,5,113
不公平,5,114
不喜歡,5,115
不存在,5,116
不得不,5,117
不正常,5,118
不用說,5,119
世界上,5,120
傳統觀念,5,121
刑事案件,5,122
十年前,5,123
半斤八兩,5,124
口耳相傳,5,125
同性戀,5,126
咎由自取,5,127
多半是,5,128
多少錢,5,129
大規模,5,130
整件事,5,131
既得利益者,5,132
有人說,5,133
根深蒂固,5,134
注意力,5,135
無差別,5,136
生育率,5,137
還不是,5,138
還是會,5,139
都没有,5,140
0.0,4,141
rpg,4,142
rs7re,4,143
y7e,4,144
一定會,4,145
一盤散沙,4,146
一直在,4,147
三个月,4,148
下一代,4,149
不安定,4,150
也就是,4,151
什麼時候,4,152
俄羅斯,4,153
反而是,4,154
名正言順,4,155
太好了,4,156
好幾個,4,157
實際上,4,158
小白臉,4,159
少數人,4,160
就不是,4,161
居高臨下,4,162
強力膠,4,163
彈盡援絕,4,164
從小就,4,165
怎麼會,4,166
懷璧其罪,4,167
我看到,4,168
打籃球,4,169
拿出來,4,170
持久戰,4,171
新生代,4,172
新舊交替,4,173
月黑風高,4,174
每个人,4,175
無意義,4,176
無所謂,4,177
當然是,4,178
看起來,4,179
系統的,4,180
絕大部分,4,181
自怨自艾,4,182
被壓迫,4,183
覺得很,4,184
諸如此類,4,185
資本主義,4,186
趨於穩定,4,187
輸油管,4,188
轉嫁到,4,189
過得去,4,190
遺留下來,4,191
饑寒交迫,4,192
13.6,3,193
atm,3,194
china,3,195
d3e,3,196
daddy,3,197
e6w,3,198
emoji,3,199
g1b,3,200
l7x,3,201
mama,3,202
rip,3,203
simp,3,204
sugar,3,205
threads,3,206
woman,3,207
z2m,3,208
一句話,3,209
一天到晚,3,210
